"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Pickens County, GA"	"13227"	2898	320479	904.3
	"Pierce County, GA"	"13229"	2149	204008	1053.4
	"Pike County, GA"	"13231"	1640	188561	869.7
	"Polk County, GA"	"13233"	5359	477759	1121.7
	"Pulaski County, GA"	"13235"	1363	129162	1055.3
	"Putnam County, GA"	"13237"	2260	239953	941.9
	"Quitman County, GA"	"13239"	382	30400	1256.6
	"Rabun County, GA"	"13241"	2110	189324	1114.5
	"Randolph County, GA"	"13243"	1232	92927	1325.8
	"Richmond County, GA"	"13245"	22797	2377354	958.9
	"Rockdale County, GA"	"13247"	6455	929336	694.6
	"Schley County, GA"	"13249"	468	51342	911.5
	"Screven County, GA"	"13251"	2023	180155	1122.9
	"Seminole County, GA"	"13253"	1323	108161	1223.2
	"Spalding County, GA"	"13255"	7467	733683	1017.7
	"Stephens County, GA"	"13257"	3857	307358	1254.9
	"Stewart County, GA"	"13259"	874	67063	1303.3
	"Sumter County, GA"	"13261"	4066	395995	1026.8
	"Talbot County, GA"	"13263"	1009	81399	1239.6
	"Taliaferro County, GA"	"13265"	339	22907	1479.9
	"Tattnall County, GA"	"13267"	2744	278806	984.2
	"Taylor County, GA"	"13269"	1227	106226	1155.1
	"Telfair County, GA"	"13271"	1850	171948	1075.9
	"Terrell County, GA"	"13273"	1468	122810	1195.3
	"Thomas County, GA"	"13275"	5729	521806	1097.9
	"Tift County, GA"	"13277"	4314	467512	922.8
	"Toombs County, GA"	"13279"	3360	318551	1054.8
	"Towns County, GA"	"13281"	1657	119175	1390.4
	"Treutlen County, GA"	"13283"	919	82066	1119.8
	"Troup County, GA"	"13285"	7713	751365	1026.5
	"Turner County, GA"	"13287"	1272	111055	1145.4
	"Twiggs County, GA"	"13289"	1294	119746	1080.6
	"Union County, GA"	"13291"	2935	233997	1254.3
	"Upson County, GA"	"13293"	4260	329690	1292.1
	"Walker County, GA"	"13295"	8514	779048	1092.9
	"Walton County, GA"	"13297"	6841	868208	787.9
	"Ware County, GA"	"13299"	5261	426908	1232.3
	"Warren County, GA"	"13301"	1015	73623	1378.6
	"Washington County, GA"	"13303"	2764	252314	1095.5
	"Wayne County, GA"	"13305"	3277	340217	963.2
	"Webster County, GA"	"13307"	309	30775	1004.1
	"Wheeler County, GA"	"13309"	715	80809	884.8
	"White County, GA"	"13311"	2689	287002	936.9
	"Whitfield County, GA"	"13313"	8710	1115101	781.1
	"Wilcox County, GA"	"13315"	1209	106425	1136.0
	"Wilkes County, GA"	"13317"	1671	127554	1310.0
	"Wilkinson County, GA"	"13319"	1279	119123	1073.7
	"Worth County, GA"	"13321"	2449	261951	934.9
	"Hawaii County, HI"	"15001"	15546	1992927	780.1
	"Honolulu County, HI"	"15003"	76758	10931132	702.2
	"Kalawao County, HI"	"15005"	23	1430	1608.4
	"Kauai County, HI"	"15007"	5782	748713	772.3
	"Maui County, HI"	"15009"	10749	1695285	634.1
	"Ada County, ID"	"16001"	24744	4144208	597.1
	"Adams County, ID"	"16003"	398	44915	886.1
	"Bannock County, ID"	"16005"	6991	937711	745.5
	"Bear Lake County, ID"	"16007"	773	74027	1044.2
	"Benewah County, ID"	"16009"	1172	109521	1070.1
	"Bingham County, ID"	"16011"	3516	518209	678.5
	"Blaine County, ID"	"16013"	993	246415	403.0
	"Boise County, ID"	"16015"	466	83170	560.3
	"Bonner County, ID"	"16017"	4078	468022	871.3
	"Bonneville County, ID"	"16019"	7719	1101841	700.6
	"Boundary County, ID"	"16021"	1148	123574	929.0
	"Butte County, ID"	"16023"	316	34225	923.3
	"Camas County, ID"	"16025"	75	12690	591.0
	"Canyon County, ID"	"16027"	13294	1928081	689.5
	"Caribou County, ID"	"16029"	767	84736	905.2
	"Cassia County, ID"	"16031"	2193	260474	841.9
	"Clark County, ID"	"16033"	68	11482	592.2
	"Clearwater County, ID"	"16035"	1121	104946	1068.2
	"Custer County, ID"	"16037"	422	50759	831.4
	"Elmore County, ID"	"16039"	1896	324184	584.9
	"Franklin County, ID"	"16041"	1039	143943	721.8
	"Fremont County, ID"	"16043"	1118	150501	742.9
	"Gem County, ID"	"16045"	2128	192970	1102.8
	"Gooding County, ID"	"16047"	1626	176003	923.8
	"Idaho County, ID"	"16049"	1901	188164	1010.3
	"Jefferson County, ID"	"16051"	1477	262546	562.6
	"Jerome County, ID"	"16053"	1742	237999	731.9
	"Kootenai County, ID"	"16055"	11587	1477575	784.2
	"Latah County, ID"	"16057"	2508	430743	582.2
	"Lemhi County, ID"	"16059"	1066	93184	1144.0
	"Lewis County, ID"	"16061"	512	44589	1148.3
	"Lincoln County, ID"	"16063"	433	55043	786.7
	"Madison County, ID"	"16065"	1407	388707	362.0
	"Minidoka County, ID"	"16067"	2114	234814	900.3
	"Nez Perce County, ID"	"16069"	5112	456924	1118.8
	"Oneida County, ID"	"16071"	481	49901	963.9
	"Owyhee County, ID"	"16073"	1009	132799	759.8
	"Payette County, ID"	"16075"	2263	258729	874.7
	"Power County, ID"	"16077"	640	90210	709.5
	"Shoshone County, ID"	"16079"	2051	157303	1303.9
	"Teton County, ID"	"16081"	371	94515	392.5
	"Twin Falls County, ID"	"16083"	7868	837747	939.2
	"Valley County, ID"	"16085"	719	105209	683.4
	"Washington County, ID"	"16087"	1384	120191	1151.5
	"Adams County, IL"	"17001"	9874	808636	1221.1
	"Alexander County, IL"	"17003"	1435	108025	1328.4
	"Bond County, IL"	"17005"	2116	214047	988.6
	"Boone County, IL"	"17007"	3909	582134	671.5
	"Brown County, IL"	"17009"	735	83193	883.5
	"Bureau County, IL"	"17011"	4785	421726	1134.6
	"Calhoun County, IL"	"17013"	760	61221	1241.4
	"Carroll County, IL"	"17015"	2334	192588	1211.9
	"Cass County, IL"	"17017"	1884	163935	1149.2
	"Champaign County, IL"	"17019"	13884	2279848	609.0
	"Christian County, IL"	"17021"	4968	421528	1178.6
	"Clark County, IL"	"17023"	2528	200639	1260.0
	"Clay County, IL"	"17025"	2178	169741	1283.1
	"Clinton County, IL"	"17027"	3933	439174	895.5
	"Coles County, IL"	"17029"	6042	638608	946.1
	"Cook County, IL"	"17031"	513329	63043761	814.2
	"Crawford County, IL"	"17033"	2811	241203	1165.4
	"Cumberland County, IL"	"17035"	1456	133421	1091.3
	"DeKalb County, IL"	"17037"	7524	1168205	644.1
	"De Witt County, IL"	"17039"	2349	200466	1171.8
	"Douglas County, IL"	"17041"	2384	240158	992.7
	"DuPage County, IL"	"17043"	67901	10922559	621.7
	"Edgar County, IL"	"17045"	2949	229279	1286.2
	"Edwards County, IL"	"17047"	1007	81692	1232.7
	"Effingham County, IL"	"17049"	3881	411483	943.2
	"Fayette County, IL"	"17051"	2787	261565	1065.5
	"Ford County, IL"	"17053"	2453	169658	1445.8
	"Franklin County, IL"	"17055"	6690	471408	1419.2
	"Fulton County, IL"	"17057"	5651	450980	1253.0
	"Gallatin County, IL"	"17059"	1027	72442	1417.7
	"Greene County, IL"	"17061"	2084	172122	1210.8
	"Grundy County, IL"	"17063"	4088	520891	784.8
	"Hamilton County, IL"	"17065"	1272	101975	1247.4
	"Hancock County, IL"	"17067"	2564	235126	1090.5
	"Hardin County, IL"	"17069"	794	55135	1440.1
	"Henderson County, IL"	"17071"	1008	93605	1076.9
	"Henry County, IL"	"17073"	6435	607421	1059.4
	"Iroquois County, IL"	"17075"	4645	366678	1266.8
	"Jackson County, IL"	"17077"	5633	716042	786.7
	"Jasper County, IL"	"17079"	1243	119097	1043.7
	"Jefferson County, IL"	"17081"	5173	474728	1089.7
	"Jersey County, IL"	"17083"	2720	268782	1012.0
	"Jo Daviess County, IL"	"17085"	2695	271188	993.8
	"Johnson County, IL"	"17087"	1446	153130	944.3
	"Kane County, IL"	"17089"	31100	5573009	558.0
	"Kankakee County, IL"	"17091"	12845	1297833	989.7
	"Kendall County, IL"	"17093"	4463	978361	456.2
	"Knox County, IL"	"17095"	8214	648624	1266.4
	"Lake County, IL"	"17097"	46608	8120131	574.0
	"La Salle County, IL"	"17099"	15197	1351901	1124.1
	"Lawrence County, IL"	"17101"	2669	196749	1356.6
	"Lee County, IL"	"17103"	4424	431580	1025.1
	"Livingston County, IL"	"17105"	4968	471287	1054.1
	"Logan County, IL"	"17107"	3984	369208	1079.1
	"McDonough County, IL"	"17109"	3565	393940	905.0
	"McHenry County, IL"	"17111"	20342	3451438	589.4
	"McLean County, IL"	"17113"	12621	1918625	657.8
	"Macon County, IL"	"17115"	14157	1343499	1053.7
	"Macoupin County, IL"	"17117"	7004	581109	1205.3
	"Madison County, IL"	"17119"	31882	3170238	1005.7
	"Marion County, IL"	"17121"	6056	485105	1248.4
	"Marshall County, IL"	"17123"	2056	154916	1327.2
	"Mason County, IL"	"17125"	2318	185432	1250.1
	"Massac County, IL"	"17127"	2499	183968	1358.4
	"Menard County, IL"	"17129"	1501	151184	992.8
	"Mercer County, IL"	"17131"	2051	200809	1021.4
	"Monroe County, IL"	"17133"	3055	365559	835.7
	"Montgomery County, IL"	"17135"	4353	364680	1193.6
	"Morgan County, IL"	"17137"	4769	433313	1100.6
	"Moultrie County, IL"	"17139"	2311	174318	1325.7
	"Ogle County, IL"	"17141"	5559	630577	881.6
	"Peoria County, IL"	"17143"	21179	2206048	960.0
	"Perry County, IL"	"17145"	3026	272345	1111.1
	"Piatt County, IL"	"17147"	1851	198378	933.1
	"Pike County, IL"	"17149"	2558	202643	1262.3
	"Pope County, IL"	"17151"	595	52782	1127.3
	"Pulaski County, IL"	"17153"	1109	80356	1380.1
	"Putnam County, IL"	"17155"	681	72255	942.5
	"Randolph County, IL"	"17157"	4519	404017	1118.5
	"Richland County, IL"	"17159"	2375	194529	1220.9
	"Rock Island County, IL"	"17161"	17677	1775745	995.5
	"St. Clair County, IL"	"17163"	30472	3139964	970.5
	"Saline County, IL"	"17165"	4717	308877	1527.1
	"Sangamon County, IL"	"17167"	21769	2310325	942.2
	"Schuyler County, IL"	"17169"	1040	88487	1175.3
	"Scott County, IL"	"17171"	705	65410	1077.8
	"Shelby County, IL"	"17173"	2929	270618	1082.3
	"Stark County, IL"	"17175"	982	74225	1323.0
	"Stephenson County, IL"	"17177"	6315	579271	1090.2
	"Tazewell County, IL"	"17179"	15531	1572701	987.5
	"Union County, IL"	"17181"	2827	216919	1303.3
	"Vermilion County, IL"	"17183"	11449	994057	1151.7
	"Wabash County, IL"	"17185"	1630	149535	1090.0
	"Warren County, IL"	"17187"	2434	217187	1120.7
	"Washington County, IL"	"17189"	1986	180147	1102.4
	"Wayne County, IL"	"17191"	2498	203425	1228.0
	"White County, IL"	"17193"	2784	180410	1543.2
	"Whiteside County, IL"	"17195"	7586	713580	1063.1
	"Will County, IL"	"17197"	40685	7224113	563.2
	"Williamson County, IL"	"17199"	8954	764295	1171.5
	"Winnebago County, IL"	"17201"	30289	3440086	880.5
	"Woodford County, IL"	"17203"	4181	442899	944.0
	"Adams County, IN"	"18001"	3504	406484	862.0
	"Allen County, IN"	"18003"	31801	4112485	773.3
	"Bartholomew County, IN"	"18005"	7893	884128	892.7
	"Benton County, IN"	"18007"	1126	108525	1037.5
	"Blackford County, IN"	"18009"	1782	160913	1107.4
	"Boone County, IN"	"18011"	5106	610573	836.3
	"Brown County, IN"	"18013"	1540	182781	842.5
	"Carroll County, IN"	"18015"	2105	242341	868.6
	"Cass County, IN"	"18017"	4897	477975	1024.5
	"Clark County, IN"	"18019"	11655	1225376	951.1
	"Clay County, IN"	"18021"	3581	321971	1112.2
	"Clinton County, IN"	"18023"	4229	401231	1054.0
	"Crawford County, IN"	"18025"	1312	130407	1006.1
	"Daviess County, IN"	"18027"	3688	365290	1009.6
	"Dearborn County, IN"	"18029"	4560	577600	789.5
	"Decatur County, IN"	"18031"	2800	301978	927.2
	"De Kalb County, IN"	"18033"	4136	495111	835.4
	"Delaware County, IN"	"18035"	13928	1421537	979.8
	"Dubois County, IN"	"18037"	4344	491472	883.9
	"Elkhart County, IN"	"18039"	17308	2285580	757.3
	"Fayette County, IN"	"18041"	3577	298001	1200.3
	"Floyd County, IN"	"18043"	8211	866923	947.1
	"Fountain County, IN"	"18045"	2386	210936	1131.1
	"Franklin County, IN"	"18047"	2223	273533	812.7
	"Fulton County, IN"	"18049"	2676	246729	1084.6
	"Gibson County, IN"	"18051"	4062	396423	1024.7
	"Grant County, IN"	"18053"	9455	857834	1102.2
	"Greene County, IN"	"18055"	4300	397810	1080.9
	"Hamilton County, IN"	"18057"	12721	2737383	464.7
	"Hancock County, IN"	"18059"	5810	748470	776.3
	"Harrison County, IN"	"18061"	3687	441652	834.8
	"Hendricks County, IN"	"18063"	9369	1501213	624.1
	"Henry County, IN"	"18065"	6600	582677	1132.7
	"Howard County, IN"	"18067"	10393	1009030	1030.0
	"Huntington County, IN"	"18069"	4603	451882	1018.6
	"Jackson County, IN"	"18071"	4964	498972	994.8
	"Jasper County, IN"	"18073"	3248	380354	853.9
	"Jay County, IN"	"18075"	2741	259241	1057.3
	"Jefferson County, IN"	"18077"	3799	384616	987.7
	"Jennings County, IN"	"18079"	2952	337752	874.0
	"Johnson County, IN"	"18081"	12392	1519451	815.6
	"Knox County, IN"	"18083"	5456	464361	1174.9
	"Kosciusko County, IN"	"18085"	7397	908409	814.3
	"Lagrange County, IN"	"18087"	2717	433350	627.0
	"Lake County, IN"	"18089"	56644	5872969	964.5
	"La Porte County, IN"	"18091"	12881	1321934	974.4
	"Lawrence County, IN"	"18093"	5946	553253	1074.7
	"Madison County, IN"	"18095"	17214	1583237	1087.3
	"Marion County, IN"	"18097"	89756	10515448	853.6
	"Marshall County, IN"	"18099"	4969	554773	895.7
	"Martin County, IN"	"18101"	1257	124024	1013.5
	"Miami County, IN"	"18103"	3921	443587	883.9
	"Monroe County, IN"	"18105"	9169	1535970	597.0
	"Montgomery County, IN"	"18107"	4410	455003	969.2
	"Morgan County, IN"	"18109"	6718	813601	825.7
	"Newton County, IN"	"18111"	1733	172679	1003.6
	"Noble County, IN"	"18113"	4695	564767	831.3
	"Ohio County, IN"	"18115"	652	70505	924.8
	"Orange County, IN"	"18117"	2513	235558	1066.8
	"Owen County, IN"	"18119"	2557	262439	974.3
	"Parke County, IN"	"18121"	1949	208319	935.6
	"Perry County, IN"	"18123"	2329	229595	1014.4
	"Pike County, IN"	"18125"	1697	155309	1092.7
	"Porter County, IN"	"18127"	14480	1862279	777.5
	"Posey County, IN"	"18129"	2728	318222	857.3
	"Pulaski County, IN"	"18131"	1815	163758	1108.3
	"Putnam County, IN"	"18133"	3699	447321	826.9
	"Randolph County, IN"	"18135"	3406	320194	1063.7
	"Ripley County, IN"	"18137"	3117	333759	933.9
	"Rush County, IN"	"18139"	2239	214452	1044.1
	"St. Joseph County, IN"	"18141"	29151	3187850	914.4
	"Scott County, IN"	"18143"	3015	284062	1061.4
	"Shelby County, IN"	"18145"	4819	525512	917.0
	"Spencer County, IN"	"18147"	2188	248617	880.1
	"Starke County, IN"	"18149"	3150	280419	1123.3
	"Steuben County, IN"	"18151"	3331	405048	822.4
	"Sullivan County, IN"	"18153"	2941	259977	1131.3
	"Switzerland County, IN"	"18155"	1095	118919	920.8
	"Tippecanoe County, IN"	"18157"	12301	1911875	643.4
	"Tipton County, IN"	"18159"	1957	196307	996.9
	"Union County, IN"	"18161"	795	88657	896.7
	"Vanderburgh County, IN"	"18163"	22238	2105887	1056.0
	"Vermillion County, IN"	"18165"	2543	198466	1281.3
	"Vigo County, IN"	"18167"	13711	1273688	1076.5
	"Wabash County, IN"	"18169"	4662	407544	1143.9
	"Warren County, IN"	"18171"	1014	102562	988.7
	"Warrick County, IN"	"18173"	5561	667896	832.6
	"Washington County, IN"	"18175"	3148	334120	942.2
	"Wayne County, IN"	"18177"	9616	839952	1144.8
	"Wells County, IN"	"18179"	3076	332656	924.7
	"White County, IN"	"18181"	3086	299766	1029.5
	"Whitley County, IN"	"18183"	3384	384148	880.9
	"Adair County, IA"	"19001"	1354	95633	1415.8
	"Adams County, IA"	"19003"	648	51296	1263.3
	"Allamakee County, IA"	"19005"	1952	172619	1130.8
	"Appanoose County, IA"	"19007"	2167	160022	1354.2
	"Audubon County, IA"	"19009"	1081	77137	1401.4
	"Benton County, IA"	"19011"	2736	310768	880.4
	"Black Hawk County, IA"	"19013"	13526	1536763	880.2
	"Boone County, IA"	"19015"	3444	315971	1090.0
	"Bremer County, IA"	"19017"	2634	285637	922.1
	"Buchanan County, IA"	"19019"	2342	251716	930.4
	"Buena Vista County, IA"	"19021"	2313	241330	958.4
	"Butler County, IA"	"19023"	2278	179886	1266.4
	"Calhoun County, IA"	"19025"	1761	124243	1417.4
	"Carroll County, IA"	"19027"	2832	252371	1122.2
	"Cass County, IA"	"19029"	2306	170331	1353.8
	"Cedar County, IA"	"19031"	2058	219396	938.0
	"Cerro Gordo County, IA"	"19033"	6099	541171	1127.0
	"Cherokee County, IA"	"19035"	1878	149596	1255.4
	"Chickasaw County, IA"	"19037"	1640	152977	1072.1
	"Clarke County, IA"	"19039"	1211	110306	1097.9
	"Clay County, IA"	"19041"	2192	203455	1077.4
	"Clayton County, IA"	"19043"	2486	220439	1127.7
	"Clinton County, IA"	"19045"	6466	594996	1086.7
	"Crawford County, IA"	"19047"	2037	203328	1001.8
	"Dallas County, IA"	"19049"	3924	627242	625.6
	"Davis County, IA"	"19051"	1056	103386	1021.4
	"Decatur County, IA"	"19053"	1167	102945	1133.6
	"Delaware County, IA"	"19055"	1900	216921	875.9
	"Des Moines County, IA"	"19057"	5216	491102	1062.1
	"Dickinson County, IA"	"19059"	2135	198398	1076.1
	"Dubuque County, IA"	"19061"	10193	1089892	935.2
	"Emmet County, IA"	"19063"	1531	127604	1199.8
	"Fayette County, IA"	"19065"	2992	256897	1164.7
	"Floyd County, IA"	"19067"	2431	198901	1222.2
	"Franklin County, IA"	"19069"	1528	128397	1190.1
	"Fremont County, IA"	"19071"	1123	92329	1216.3
	"Greene County, IA"	"19073"	1493	117982	1265.4
	"Grundy County, IA"	"19075"	1648	148541	1109.5
	"Guthrie County, IA"	"19077"	1651	134386	1228.6
	"Hamilton County, IA"	"19079"	2037	193716	1051.5
	"Hancock County, IA"	"19081"	1535	141114	1087.8
	"Hardin County, IA"	"19083"	2962	217647	1360.9
	"Harrison County, IA"	"19085"	2316	183776	1260.2
	"Henry County, IA"	"19087"	2487	243324	1022.1
	"Howard County, IA"	"19089"	1457	117069	1244.6
	"Humboldt County, IA"	"19091"	1430	121156	1180.3
	"Ida County, IA"	"19093"	1231	89357	1377.6
	"Iowa County, IA"	"19095"	1992	193284	1030.6
	"Jackson County, IA"	"19097"	2548	241055	1057.0
	"Jasper County, IA"	"19099"	4320	447347	965.7
	"Jefferson County, IA"	"19101"	1792	196841	910.4
	"Johnson County, IA"	"19103"	6555	1439804	455.3
	"Jones County, IA"	"19105"	2272	246131	923.1
	"Keokuk County, IA"	"19107"	1487	131628	1129.7
	"Kossuth County, IA"	"19109"	2215	196033	1129.9
	"Lee County, IA"	"19111"	5179	440264	1176.3
	"Linn County, IA"	"19113"	18228	2406157	757.6
	"Louisa County, IA"	"19115"	1334	143402	930.3
	"Lucas County, IA"	"19117"	1310	111577	1174.1
	"Lyon County, IA"	"19119"	1470	139823	1051.3
	"Madison County, IA"	"19121"	1700	177891	955.6
	"Mahaska County, IA"	"19123"	2551	268300	950.8
	"Marion County, IA"	"19125"	3917	393992	994.2
	"Marshall County, IA"	"19127"	5742	476644	1204.7
	"Mills County, IA"	"19129"	1653	178091	928.2
	"Mitchell County, IA"	"19131"	1576	129857	1213.6
	"Monona County, IA"	"19133"	1938	115535	1677.4
	"Monroe County, IA"	"19135"	1182	95414	1238.8
	"Montgomery County, IA"	"19137"	1857	134502	1380.6
	"Muscatine County, IA"	"19139"	4510	504645	893.7
	"O'Brien County, IA"	"19141"	2289	176059	1300.1
	"Osceola County, IA"	"19143"	972	81309	1195.4
	"Page County, IA"	"19145"	2599	196760	1320.9
	"Palo Alto County, IA"	"19147"	1550	117014	1324.6
	"Plymouth County, IA"	"19149"	2916	298735	976.1
	"Pocahontas County, IA"	"19151"	1292	95874	1347.6
	"Polk County, IA"	"19153"	34464	4784013	720.4
	"Pottawattamie County, IA"	"19155"	10274	1079478	951.8
	"Poweshiek County, IA"	"19157"	2612	227783	1146.7
	"Ringgold County, IA"	"19159"	961	63488	1513.7
	"Sac County, IA"	"19161"	1782	130697	1363.5
	"Scott County, IA"	"19163"	15776	1918762	822.2
	"Shelby County, IA"	"19165"	1776	151973	1168.6
	"Sioux County, IA"	"19167"	2988	391847	762.5
	"Story County, IA"	"19169"	5709	1007141	566.9
	"Tama County, IA"	"19171"	2418	216514	1116.8
	"Taylor County, IA"	"19173"	1065	79565	1338.5
	"Union County, IA"	"19175"	1811	147393	1228.7
	"Van Buren County, IA"	"19177"	1160	92253	1257.4
	"Wapello County, IA"	"19179"	4974	428871	1159.8
	"Warren County, IA"	"19181"	4164	518270	803.4
	"Washington County, IA"	"19183"	2798	255360	1095.7
	"Wayne County, IA"	"19185"	1187	78480	1512.5
	"Webster County, IA"	"19187"	5582	468579	1191.3
	"Winnebago County, IA"	"19189"	1590	135279	1175.3
	"Winneshiek County, IA"	"19191"	2122	253297	837.8
	"Woodbury County, IA"	"19193"	11084	1223765	905.7
	"Worth County, IA"	"19195"	1125	92742	1213.0
	"Wright County, IA"	"19197"	2171	165105	1314.9
	"Allen County, KS"	"20001"	2156	166090	1298.1
	"Anderson County, KS"	"20003"	1181	97394	1212.6
	"Atchison County, KS"	"20005"	2236	202440	1104.5
	"Barber County, KS"	"20007"	814	60438	1346.8
	"Barton County, KS"	"20009"	3753	332134	1130.0
	"Bourbon County, KS"	"20011"	2311	182047	1269.5
	"Brown County, KS"	"20013"	1652	123156	1341.4
	"Butler County, KS"	"20015"	6606	748709	882.3
	"Chase County, KS"	"20017"	444	35075	1265.9
	"Chautauqua County, KS"	"20019"	790	48107	1642.2
	"Cherokee County, KS"	"20021"	3263	264550	1233.4
	"Cheyenne County, KS"	"20023"	505	35177	1435.6
	"Clark County, KS"	"20025"	369	27722	1331.1
	"Clay County, KS"	"20027"	1330	103010	1291.1
	"Cloud County, KS"	"20029"	1845	117751	1566.9
	"Coffey County, KS"	"20031"	1265	104351	1212.3
	"Comanche County, KS"	"20033"	419	23015	1820.6
	"Cowley County, KS"	"20035"	5140	434787	1182.2
	"Crawford County, KS"	"20037"	5344	464000	1151.7
	"Decatur County, KS"	"20039"	617	38559	1600.1
	"Dickinson County, KS"	"20041"	2810	232867	1206.7
	"Doniphan County, KS"	"20043"	990	96659	1024.2
	"Douglas County, KS"	"20045"	6743	1262304	534.2
	"Edwards County, KS"	"20047"	516	38529	1339.3
	"Elk County, KS"	"20049"	625	36750	1700.7
	"Ellis County, KS"	"20051"	2920	332842	877.3
	"Ellsworth County, KS"	"20053"	1009	77557	1301.0
	"Finney County, KS"	"20055"	2372	450991	526.0
	"Ford County, KS"	"20057"	3012	388907	774.5
	"Franklin County, KS"	"20059"	2864	305155	938.5
	"Geary County, KS"	"20061"	2402	345223	695.8
	"Gove County, KS"	"20063"	469	34515	1358.8
	"Graham County, KS"	"20065"	470	33435	1405.7
	"Grant County, KS"	"20067"	636	93443	680.6
	"Gray County, KS"	"20069"	634	70776	895.8
	"Greeley County, KS"	"20071"	194	16302	1190.0
	"Greenwood County, KS"	"20073"	1373	86856	1580.8
	"Hamilton County, KS"	"20075"	363	31832	1140.4
	"Harper County, KS"	"20077"	1247	74772	1667.7
	"Harvey County, KS"	"20079"	4296	403309	1065.2
	"Haskell County, KS"	"20081"	372	50669	734.2
	"Hodgeman County, KS"	"20083"	280	24467	1144.4
	"Jackson County, KS"	"20085"	1578	156867	1005.9
	"Jefferson County, KS"	"20087"	1981	226423	874.9
	"Jewell County, KS"	"20089"	616	40523	1520.1
	"Johnson County, KS"	"20091"	36059	5973281	603.7
	"Kearny County, KS"	"20093"	449	50346	891.8
	"Kingman County, KS"	"20095"	1292	99370	1300.2
	"Kiowa County, KS"	"20097"	404	35673	1132.5
	"Labette County, KS"	"20099"	3450	265445	1299.7
	"Lane County, KS"	"20101"	326	22968	1419.4
	"Leavenworth County, KS"	"20103"	6301	864638	728.7
	"Lincoln County, KS"	"20105"	611	41172	1484.0
	"Linn County, KS"	"20107"	1334	117034	1139.8
	"Logan County, KS"	"20109"	437	34641	1261.5
	"Lyon County, KS"	"20111"	3474	426329	814.9
	"McPherson County, KS"	"20113"	4213	351540	1198.4
	"Marion County, KS"	"20115"	2094	156166	1340.9
	"Marshall County, KS"	"20117"	1662	125112	1328.4
	"Meade County, KS"	"20119"	587	54886	1069.5
	"Miami County, KS"	"20121"	3013	364926	825.6
	"Mitchell County, KS"	"20123"	1170	78996	1481.1
	"Montgomery County, KS"	"20125"	5678	426867	1330.2
	"Morris County, KS"	"20127"	905	71755	1261.2
	"Morton County, KS"	"20129"	413	40069	1030.7
	"Nemaha County, KS"	"20131"	1705	124938	1364.7
	"Neosho County, KS"	"20133"	2418	200282	1207.3
	"Ness County, KS"	"20135"	577	38956	1481.2
	"Norton County, KS"	"20137"	860	69466	1238.0
	"Osage County, KS"	"20139"	2193	199214	1100.8
	"Osborne County, KS"	"20141"	796	49400	1611.3
	"Ottawa County, KS"	"20143"	912	73512	1240.6
	"Pawnee County, KS"	"20145"	996	84108	1184.2
	"Phillips County, KS"	"20147"	989	68931	1434.8
	"Pottawatomie County, KS"	"20149"	2015	234613	858.9
	"Pratt County, KS"	"20151"	1431	115595	1237.9
	"Rawlins County, KS"	"20153"	494	33065	1494.0
	"Reno County, KS"	"20155"	8257	770190	1072.1
	"Republic County, KS"	"20157"	1064	64198	1657.4
	"Rice County, KS"	"20159"	1550	124675	1243.2
	"Riley County, KS"	"20161"	3710	788052	470.8
	"Rooks County, KS"	"20163"	854	64828	1317.3
	"Rush County, KS"	"20165"	627	40811	1536.4
	"Russell County, KS"	"20167"	1248	84645	1474.4
	"Saline County, KS"	"20169"	6120	652530	937.9
	"Scott County, KS"	"20171"	665	58611	1134.6
	"Sedgwick County, KS"	"20173"	45537	5645746	806.6
	"Seward County, KS"	"20175"	1682	270324	622.2
	"Shawnee County, KS"	"20177"	20249	2071481	977.5
	"Sheridan County, KS"	"20179"	397	31822	1247.6
	"Sherman County, KS"	"20181"	885	75200	1176.9
	"Smith County, KS"	"20183"	819	50082	1635.3
	"Stafford County, KS"	"20185"	771	54686	1409.9
	"Stanton County, KS"	"20187"	233	27575	845.0
	"Stevens County, KS"	"20189"	573	66081	867.1
	"Sumner County, KS"	"20191"	3339	299626	1114.4
	"Thomas County, KS"	"20193"	950	95112	998.8
	"Trego County, KS"	"20195"	573	37214	1539.7
	"Wabaunsee County, KS"	"20197"	808	82839	975.4
	"Wallace County, KS"	"20199"	228	19027	1198.3
	"Washington County, KS"	"20201"	1087	72976	1489.5
	"Wichita County, KS"	"20203"	292	28385	1028.7
	"Wilson County, KS"	"20205"	1696	118693	1428.9
	"Woodson County, KS"	"20207"	711	42348	1678.9
	"Wyandotte County, KS"	"20209"	17500	1874207	933.7
	"Adair County, KY"	"21001"	2126	216444	982.2
	"Allen County, KY"	"21003"	2341	226084	1035.5
	"Anderson County, KY"	"21005"	2030	241232	841.5
	"Ballard County, KY"	"21007"	1287	98777	1302.9
	"Barren County, KY"	"21009"	5153	480459	1072.5
	"Bath County, KY"	"21011"	1605	136902	1172.4
	"Bell County, KY"	"21013"	4434	351169	1262.6
	"Boone County, KY"	"21015"	7350	1229035	598.0
	"Bourbon County, KY"	"21017"	2448	236557	1034.8
	"Boyd County, KY"	"21019"	7214	594054	1214.4
	"Boyle County, KY"	"21021"	3662	334651	1094.3
	"Bracken County, KY"	"21023"	1052	101208	1039.4
	"Breathitt County, KY"	"21025"	2186	179074	1220.7
